iter	Passed	Remaining
399	85795	4718
400	85985	4502
401	86196	4288
402	86402	4073
403	86604	3858
404	86824	3644
405	87026	3429
406	87236	3215
407	87440	3000
408	87664	2786
409	87873	2571
410	88086	2357
411	88299	2143
412	88506	1928
413	88709	1714
414	88901	1499
415	89090	1284
416	89299	1070
417	89494	856
418	89706	642
419	89906	428
420	90120	214
421	90348	0
