iter	Logloss
0	0.5733544301
1	0.4909569348
2	0.4240887272
3	0.3582375998
4	0.3064001319
5	0.2651430929
6	0.2310121935
7	0.2037733088
8	0.177984196
9	0.1594455851
10	0.1477829792
11	0.138414316
12	0.1260372189
13	0.1153913041
14	0.1103079589
15	0.1038735349
16	0.09474271894
17	0.09109541792
18	0.08753838804
19	0.08354927901
20	0.0785168745
21	0.07100016173
22	0.06878114443
23	0.06504287717
24	0.06198283912
25	0.05873840523
26	0.05547378554
27	0.05339413946
28	0.05150644157
29	0.0488227227
30	0.04742576515
31	0.04583004169
32	0.04362930001
33	0.04143922826
34	0.04064469802
35	0.03874934779
36	0.03789522445
37	0.03637703301
38	0.03552797434
39	0.0348010628
40	0.03411453602
41	0.03320039351
42	0.03146326925
43	0.03021521913
44	0.02975952915
45	0.02865727127
46	0.0278741684
47	0.02722258419
48	0.02624561482
49	0.02463424573
50	0.0238959614
51	0.02303622104
52	0.02247960677
53	0.02162234942
54	0.02129881109
55	0.02039500867
56	0.01971271519
57	0.01926592282
58	0.01859534205
59	0.01811524159
60	0.01783550884
61	0.01739426505
62	0.01711435853
63	0.01678515266
64	0.01667389612
65	0.0161977972
66	0.01607149421
67	0.01552120212
68	0.01529233311
69	0.01514893318
70	0.01481903239
71	0.01435136251
72	0.01407232235
73	0.01385001251
74	0.01342754272
75	0.01309367725
76	0.01278577488
77	0.01258479357
78	0.01248673687
79	0.01196319027
80	0.01149729401
81	0.01134925742
82	0.01110851584
83	0.01083415161
84	0.01055147371
85	0.01034226294
86	0.010121876
87	0.009946189074
88	0.009687062171
89	0.009611426297
90	0.009484467335
91	0.009397664623
92	0.009088727403
93	0.008963641424
94	0.008754680387
95	0.008625191148
96	0.008576348733
97	0.008399661245
98	0.008320147541
99	0.008169024371
100	0.007978186179
101	0.007814093707
102	0.007738819368
103	0.007534813068
104	0.007363734734
105	0.007180044979
106	0.006922021263
107	0.00683879308
108	0.00665224549
109	0.006558262931
110	0.006549224561
111	0.006328227527
112	0.006200245926
113	0.006127700902
114	0.006000110459
115	0.005850325512
116	0.005764025217
